Date,Open,High,Low,Close
06/27/2025,"6,150.70","6,187.68","6,132.35","6,173.07"
06/26/2025,"6,112.09","6,146.52","6,107.27","6,141.02"
06/25/2025,"6,104.23","6,108.51","6,080.09","6,092.16"
06/24/2025,"6,061.21","6,101.76","6,059.25","6,092.18"
06/23/2025,"5,969.67","6,028.77","5,943.23","6,025.17"
06/20/2025,"5,999.67","6,018.20","5,952.56","5,967.84"
06/18/2025,"5,987.93","6,018.25","5,971.89","5,980.87"
06/17/2025,"6,012.15","6,023.25","5,974.80","5,982.72"
06/16/2025,"6,004.00","6,050.83","6,004.00","6,033.11"
06/13/2025,"6,000.56","6,026.16","5,963.21","5,976.97"
06/12/2025,"6,009.90","6,045.43","6,003.88","6,045.26"
06/11/2025,"6,049.38","6,059.40","6,002.32","6,022.24"
06/10/2025,"6,009.91","6,043.01","6,000.28","6,038.81"
06/09/2025,"6,004.63","6,021.31","5,994.18","6,005.88"
06/06/2025,"5,987.06","6,016.87","5,978.63","6,000.36"
06/05/2025,"5,985.67","5,999.70","5,921.20","5,939.30"
06/04/2025,"5,978.94","5,990.48","5,966.11","5,970.81"
06/03/2025,"5,938.56","5,981.35","5,929.00","5,970.37"
06/02/2025,"5,896.68","5,937.40","5,861.43","5,935.94"
